t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,181.17977733274785,10,1
1.0,0.0,193.55247438060556,10,1
2.0,0.0,206.26642559732764,10,1
3.0,0.0,219.3109608830379,10,1
4.0,0.0,232.6752379260437,10,1
5.0,0.0,246.3482832110025,10,1
6.0,0.0,246.8001655432646,9,1
7.0,0.0,260.30934884785705,9,1
8.0,0.0,274.0791705879785,9,1
9.0,0.0,276.6377071953645,8,1
10.0,0.0,290.3240487628391,8,1
11.0,0.0,304.2298532995963,8,1
12.0,0.0,298.5478493875688,6,1
13.0,0.0,298.3234010786878,5,1
14.0,0.0,296.7123102249752,4,1
15.0,0.0,309.24269288957396,4,1
16.0,0.0,306.7832683664326,3,1
17.0,0.0,318.9860001607746,3,1
18.0,0.0,331.31051212849724,3,1
19.0,0.0,333.92398957668706,2,1
20.0,0.0,323.31826227620087,1,1
21.0,0.0,334.7821132138257,1,1
22.0,0.0,346.32920790048513,1,1
0.0,0.03,191.5847544495762,10,1
1.0,0.03,204.675006775913,10,1
2.0,0.03,218.1266064580613,10,1
3.0,0.03,231.9282624495916,10,1
4.0,0.03,246.0685027236168,10,1
5.0,0.03,260.53571223836394,10,1
6.0,0.03,275.3181681407194,10,1
7.0,0.03,290.40407234440096,10,1
8.0,0.03,297.7407280657873,9,1
9.0,0.03,312.9823493213153,9,1
10.0,0.03,304.1636018985758,6,1
11.0,0.03,318.7381414731572,6,1
12.0,0.03,325.8472366674955,5,1
13.0,0.03,318.79770036049644,3,1
14.0,0.03,315.7481852351217,2,1
15.0,0.03,329.09011025556447,2,1
16.0,0.03,342.58591890753263,2,1
17.0,0.03,345.75414215748725,1,1
18.0,0.03,359.1228103596538,1,1
0.0,0.3,156.19528131775502,10,1
1.0,0.3,166.8447058488052,10,1
2.0,0.3,177.78711836914513,10,1
3.0,0.3,189.01333857900747,10,1
4.0,0.3,200.5140409878981,10,1
5.0,0.3,212.2797856258033,10,1
6.0,0.3,224.3010465051334,10,1
