C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,14.4,17.2,2.8,304.29028202181945,126.09706005008857,1
0.03,12.6,15.5,2.9,319.58820190960984,126.84053011991561,1
0.3,18.5,21.0,2.5,291.2446790697616,132.01606592896658,1
3.0,15.1,17.6,2.5,294.4920615254428,133.5646238618678,1
30.0,11.6,14.5,2.9,322.91154930983714,127.86051093478966,1
0.0,13.3,15.7,2.4,285.8244565751908,134.26609481693268,2
0.03,14.0,16.7,2.7,305.1072023750179,130.12142697570232,2
0.3,14.4,17.2,2.8,313.96297828135255,128.70842288283552,2
3.0,11.7,13.9,2.2,282.41531200896276,141.9496418669599,2
30.0,12.5,15.2,2.7,315.8727476786531,132.7085759667269,2
0.0,14.1,16.8,2.7,312.04654908611894,132.29332705851783,3
0.03,13.5,16.2,2.7,315.9638465490972,132.7774102935872,3
0.3,14.7,17.3,2.6,300.36100474274383,132.1506969287183,3
3.0,11.9,14.7,2.8,322.1925923568137,131.05973201438547,3
30.0,13.7,16.4,2.7,295.3163338156002,126.98917752027853,3
0.0,13.5,16.2,2.7,306.02005566031346,130.04807102713926,4
0.03,16.9,19.5,2.6,282.2035305623023,125.97501620393818,4
0.3,12.4,15.0,2.6,305.43297400129273,133.4425079869334,4
3.0,13.2,15.9,2.7,298.26424096044536,127.84247529275065,4
30.0,13.1,15.8,2.7,310.68878983390374,131.75753927778885,4
0.0,13.9,16.3,2.4,296.0213178226112,137.92584545155216,5
0.03,14.1,16.7,2.6,295.8102162179319,130.43732249103454,5
0.3,13.1,15.6,2.5,298.63261634995655,135.0055611311279,5
3.0,12.1,14.9,2.8,312.29704153758706,128.21341220432024,5
30.0,12.5,15.1,2.6,302.19337984132443,131.98196914843896,5
0.0,15.9,18.6,2.7,300.44806535841275,127.60884106082055,6
0.03,12.0,14.7,2.7,310.0356922823224,131.3702149357382,6
0.3,15.2,17.6,2.4,295.43327192137883,137.38327839444258,6
3.0,12.2,14.6,2.4,296.90478693503235,138.26179787603053,6
30.0,13.2,15.8,2.6,301.07856168477133,132.0479273258357,6
0.0,13.5,16.1,2.6,302.2442498843249,132.3248036045514,7
0.03,11.1,13.5,2.4,300.00702944439274,139.94031624191365,7
0.3,12.9,15.5,2.6,305.45825209921065,133.42863690225164,7
3.0,13.0,15.7,2.7,309.06672309242475,131.36538310910117,7
30.0,12.3,15.1,2.8,305.03214433328867,126.58987769621604,7
0.0,14.3,17.0,2.7,294.79279873656725,126.51903852032584,8
0.03,14.4,17.1,2.7,312.12228818488285,132.05602552625865,8
0.3,13.7,16.3,2.6,303.42633707612265,133.0869380384576,8
3.0,16.1,18.6,2.5,295.6168665773869,134.18815647554658,8
30.0,10.8,13.3,2.5,306.8124954000531,138.0897717391634,8
0.0,13.8,16.0,2.2,276.83816691195386,138.5492428655345,9
0.03,12.0,14.4,2.4,290.9416284273364,136.55118196721614,9
0.3,15.0,17.4,2.4,284.797884494419,133.7498069452309,9
3.0,13.4,15.7,2.3,284.9145156297808,137.44628236874496,9
30.0,13.4,16.1,2.7,301.89436208946796,129.2439680495994,9
0.0,12.5,15.4,2.9,329.6895971852824,129.9410805162825,10
0.03,14.9,17.6,2.7,303.2178419218531,128.32535597340188,10
0.3,15.0,17.7,2.7,300.5462185132739,128.13140480710533,10
3.0,12.8,15.4,2.6,312.7305222836583,135.81149337933107,10
30.0,13.6,16.3,2.7,311.4939572245005,131.47201160288108,10
0.0,12.1,14.7,2.6,301.0495647285016,132.12551295204514,11
0.03,15.1,17.8,2.7,303.0168253618228,129.08761996456695,11
0.3,16.6,19.1,2.5,297.8472804479537,134.70279042683632,11
3.0,13.8,16.5,2.7,309.40893697565684,131.0427562429033,11
30.0,15.7,18.6,2.9,324.9992989025619,128.5115358806029,11
0.0,12.3,14.8,2.5,296.54439782755696,134.6850044833054,12
0.03,12.7,15.1,2.4,286.63230435834913,136.02217859858536,12
0.3,14.7,17.6,2.9,313.8662990228963,125.35287886665583,12
3.0,12.9,15.3,2.4,292.80102439958256,137.28295737275644,12
30.0,12.6,15.4,2.8,318.4721551256793,130.04649143002806,12
0.0,15.2,17.7,2.5,290.11773862575467,132.4382692834467,13
0.03,11.5,14.1,2.6,317.262668710628,137.30447640034893,13
0.3,12.4,15.2,2.8,317.93549074844793,130.1051913239187,13
3.0,14.6,17.1,2.5,295.5745649548927,133.5673953307888,13
30.0,12.8,15.7,2.9,311.63487658897145,124.78385461544849,13
0.0,13.3,16.0,2.7,308.94264793291893,130.94151016258274,14
0.03,14.5,17.0,2.5,302.0950464712768,136.09772359632808,14
0.3,14.8,17.7,2.9,316.1586343689789,125.99595183971901,14
3.0,13.7,16.3,2.6,300.54915158801725,132.09683022938486,14
30.0,14.5,17.3,2.8,321.4206350253396,130.9111882374015,14
0.0,15.4,18.1,2.7,291.76388339472607,125.48899666352699,15
0.03,17.7,20.5,2.8,304.5685230814069,125.76455638217847,15
0.3,16.3,19.1,2.8,298.97915896462865,124.42532040132365,15
3.0,13.1,15.8,2.7,315.0527928853504,132.56331311950203,15
30.0,13.3,15.8,2.5,297.17394998641475,134.28946173051196,15
0.0,12.5,15.4,2.9,313.44005276834,125.20351936424845,16
0.03,17.5,20.3,2.8,296.36623799635754,123.59119782871092,16
0.3,10.5,13.2,2.7,306.9033000136942,130.81388264848758,16
3.0,12.2,14.5,2.3,287.06437983264567,138.6779002253416,16
30.0,14.7,17.3,2.6,303.5328531854783,132.58807941934768,16
0.0,13.4,16.1,2.7,310.95987593811276,131.6329612617482,17
0.03,12.7,15.5,2.8,309.35374327619235,127.82630969245652,17
0.3,13.3,15.7,2.4,296.6831391254598,137.98592401067737,17
3.0,16.0,18.8,2.8,303.00483412747303,125.04920605103038,17
30.0,11.3,13.8,2.5,311.444534509496,139.33749461489558,17
0.0,14.2,16.8,2.6,301.5781019815919,132.6671458756784,18
0.03,17.6,20.5,2.9,314.4103019239931,125.0667602423875,18
0.3,13.8,16.2,2.4,288.9043240672862,135.3812473620818,18
3.0,12.2,14.9,2.7,310.74168355186674,131.38888856445513,18
30.0,11.7,14.1,2.4,289.9240323515813,135.92487030255467,18
0.0,13.1,15.8,2.7,305.6045417375984,130.3774454934156,19
0.03,13.3,15.8,2.5,302.21636851034765,135.84008458928523,19
0.3,12.5,15.2,2.7,314.6402361180475,132.81052639649698,19
3.0,16.2,18.9,2.7,306.0094910979271,129.6584732519379,19
30.0,15.3,18.0,2.7,308.8240280699869,131.04465494971004,19
0.0,15.4,17.9,2.5,293.94805020294126,133.37422322463308,20
0.03,11.8,14.6,2.8,310.0514074747982,127.9831906383757,20
0.3,12.6,15.2,2.6,291.4555387539341,129.34386328782404,20
3.0,15.2,17.9,2.7,315.783769889337,132.75056413286097,20
30.0,13.5,16.3,2.8,320.9029144080484,131.29304297379878,20
0.0,14.3,17.0,2.7,311.18818441371775,131.4454075027537,21
0.03,15.9,18.7,2.8,321.14505879703495,130.529392345801,21
0.3,14.6,17.3,2.7,297.43173822405697,127.2648565685316,21
3.0,14.0,16.5,2.5,303.1995540564885,136.43258490632078,21
30.0,12.3,15.0,2.7,316.3386617648893,132.8221309264056,21
0.0,12.6,15.3,2.7,297.76617175516907,128.29774279601972,22
0.03,12.0,14.8,2.8,314.9539727575901,129.83732307001776,22
0.3,16.2,19.0,2.8,305.7809142783959,126.65622195163505,22
3.0,12.9,15.7,2.8,310.51534228951095,127.69640979179744,22
30.0,13.3,16.0,2.7,307.459808038191,130.80107967951002,22
0.0,11.9,14.7,2.8,317.25507044660566,129.94410923662062,23
0.03,15.8,18.4,2.6,298.1229881886508,130.87319624789225,23
0.3,12.2,15.2,3.0,333.3511262985428,127.48358928231885,23
3.0,16.0,18.8,2.8,311.01200926910826,127.55060509739621,23
30.0,15.3,17.9,2.6,292.6777034369896,129.58383212762982,23
0.0,12.8,15.4,2.6,307.54630544808794,134.42681057821625,24
0.03,14.9,17.5,2.6,301.7835600294065,131.88160200769738,24
0.3,14.1,16.8,2.7,307.2713491144856,130.30362848339132,24
3.0,12.5,14.8,2.3,283.93474164194885,137.73372895646574,24
30.0,14.5,17.0,2.5,297.6964814177976,135.35413900533962,24
0.0,15.0,17.6,2.6,289.8808072216753,129.00172935602492,25
0.03,14.9,17.5,2.6,310.81070993200353,134.9569945161933,25
0.3,14.7,17.5,2.8,312.28459436748403,128.41163048280094,25
3.0,14.7,17.3,2.6,307.8723428656515,133.94841965055863,25
30.0,14.2,16.9,2.7,307.59409872469195,130.6526726185885,25
0.0,13.2,15.9,2.7,306.45045865806577,130.11732704159255,26
0.03,13.6,16.4,2.8,312.53884201780124,128.21489304692753,26
0.3,13.6,16.2,2.6,301.5772238618432,131.96310811714127,26
3.0,13.5,16.1,2.6,309.71097077083584,135.01007819448506,26
