t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,164.87308707936444,10,1
1.0,0.0,176.11956240410143,10,1
2.0,0.0,187.6756848603124,10,1
3.0,0.0,199.53175854201248,10,1
4.0,0.0,211.67793210808355,10,1
5.0,0.0,224.1042360966121,10,1
6.0,0.0,236.80060659682235,10,1
7.0,0.0,249.75691580141816,10,1
8.0,0.0,262.96300381987305,10,1
9.0,0.0,276.40869231691306,10,1
10.0,0.0,290.0838087392857,10,1
11.0,0.0,303.97821121638714,10,1
12.0,0.0,293.2341959699457,7,1
13.0,0.0,306.40930152558377,7,1
14.0,0.0,310.7962310746504,6,1
15.0,0.0,312.9260005528749,5,1
16.0,0.0,293.9498592561014,3,1
17.0,0.0,276.005756890802,2,1
18.0,0.0,286.65453310558576,2,1
19.0,0.0,297.4015814752446,2,1
20.0,0.0,308.2404333237587,2,1
21.0,0.0,319.1647376276894,2,1
22.0,0.0,330.16825449549856,2,1
23.0,0.0,341.2448606184564,2,1
24.0,0.0,341.3932523215549,1,1
0.0,0.03,179.47724472453913,10,1
1.0,0.03,191.73365453680532,10,1
2.0,0.03,204.32811023304453,10,1
3.0,0.03,217.25004160703497,10,1
4.0,0.03,230.48870958783172,10,1
5.0,0.03,244.0332417348565,10,1
6.0,0.03,257.8726651501405,10,1
7.0,0.03,271.99593693441614,10,1
8.0,0.03,260.9732063486727,8,1
9.0,0.03,274.31759752197667,8,1
10.0,0.03,287.8897047682793,8,1
11.0,0.03,273.38267785997994,6,1
12.0,0.03,266.1577555215162,5,1
13.0,0.03,254.55852906405775,4,1
14.0,0.03,265.62861612028905,4,1
15.0,0.03,276.83490412020944,4,1
16.0,0.03,288.1699583453401,4,1
17.0,0.03,299.62643661811546,4,1
18.0,0.03,292.49763868648114,3,1
19.0,0.03,303.46701903482546,3,1
20.0,0.03,289.1122206704831,2,1
21.0,0.03,299.3532226829427,2,1
22.0,0.03,309.66835892808274,2,1
23.0,0.03,274.7586761713552,1,1
24.0,0.03,283.7131543847672,1,1
25.0,0.03,292.71643406764565,1,1
26.0,0.03,301.763902339676,1,1
27.0,0.03,310.85104969812903,1,1
28.0,0.03,319.9734715940713,1,1
29.0,0.03,329.1268688819995,1,1
30.0,0.03,338.30704888863835,1,1
0.0,0.3,183.76946723926955,10,1
1.0,0.3,196.3200685859453,10,1
2.0,0.3,209.21687675645862,10,1
3.0,0.3,222.44906750652945,10,1
4.0,0.3,236.00564357946692,10,1
5.0,0.3,249.87547106836737,10,1
6.0,0.3,264.04731311700004,10,1
7.0,0.3,278.50986112340547,10,1
8.0,0.3,282.9396573071765,9,1
9.0,0.3,286.5358543811671,8,1
10.0,0.3,300.71604262314594,8,1
11.0,0.3,315.1237463385883,8,1
