C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,16.3,18.9,2.6,293.26481540450106,129.54749146732556,1
0.03,15.5,18.0,2.5,278.9306250095841,128.5044510360131,1
0.3,13.7,16.3,2.6,297.0862164314661,131.54662247255717,1
3.0,12.9,15.7,2.8,320.7074219533126,130.55504028190975,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,15.7,18.4,2.7,316.2356714842893,133.32823757959582,2
0.03,14.1,17.0,2.9,321.06552054360384,127.1424892310635,2
0.3,14.6,17.3,2.7,305.89060598813893,130.19375738079418,2
3.0,12.2,14.9,2.7,315.1089646049442,132.5240992332407,2
30.0,Inf,Inf,NaN,Inf,Inf,2
0.0,12.8,15.4,2.6,297.6307980556467,131.9046271996598,3
0.03,12.5,14.8,2.3,290.25259904440406,139.79248720666016,3
0.3,14.5,16.9,2.4,279.9955746909817,132.85983347656202,3
3.0,14.1,16.9,2.8,320.7350004605149,130.89266318910649,3
30.0,Inf,Inf,NaN,Inf,Inf,3
0.0,15.6,18.3,2.7,318.14815159748025,133.11929270974153,4
0.03,15.1,17.8,2.7,302.082032793733,128.3345040958321,4
0.3,11.9,14.4,2.5,298.4635007286371,135.16018710825898,4
3.0,14.1,16.9,2.8,307.98563527682995,127.17159664183846,4
30.0,Inf,Inf,NaN,Inf,Inf,4
0.0,13.9,16.5,2.6,308.7897048179325,134.80976534646908,5
0.03,13.1,15.8,2.7,317.3589796133671,134.11317809227594,5
0.3,13.6,16.3,2.7,305.67919782388464,130.34437272139775,5
3.0,14.8,17.4,2.6,293.3528708954362,129.088626642968,5
30.0,Inf,Inf,NaN,Inf,Inf,5
0.0,14.8,17.1,2.3,280.3449712137221,136.69796160680272,6
0.03,11.5,13.7,2.2,279.2452445223234,140.76285779559745,6
0.3,14.8,17.3,2.5,299.27861298631746,134.65761478131424,6
3.0,16.1,18.7,2.6,295.9308029855153,129.97960678571621,6
30.0,Inf,Inf,NaN,Inf,Inf,6
0.0,14.1,16.8,2.7,303.8277446191761,129.47863255408683,7
0.03,17.5,20.1,2.6,298.22936716984464,131.06528671271013,7
0.3,15.1,17.6,2.5,293.3898881952213,132.60153629886372,7
3.0,13.3,16.2,2.9,307.8917102352155,123.64094920562596,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,12.3,14.8,2.5,292.07058621474823,132.75835660832558,8
0.03,14.9,17.6,2.7,305.9011781539758,130.5832895965982,8
0.3,15.1,17.8,2.7,304.18752357608594,129.13801771187758,8
3.0,17.1,19.7,2.6,296.4122639990675,129.9609559559117,8
30.0,Inf,Inf,NaN,Inf,Inf,8
0.0,13.0,15.9,2.9,327.60885087018477,129.1167351147108,9
0.03,16.6,19.2,2.6,292.6415384610208,130.3037555842753,9
0.3,12.6,14.9,2.3,288.1021201184963,139.60123901831489,9
3.0,14.8,17.3,2.5,286.9288654864555,130.83528491038186,9
30.0,Inf,Inf,NaN,Inf,Inf,9
0.0,20.3,22.7,2.4,287.94212091712444,134.25595750786388,10
0.03,13.4,16.0,2.6,304.9180318101884,133.53532932612538,10
0.3,17.7,20.2,2.5,290.7461170320073,131.98294100442214,10
3.0,15.1,17.9,2.8,299.51119313342406,124.02790976245305,10
30.0,Inf,Inf,NaN,Inf,Inf,10
0.0,15.1,17.6,2.5,291.7654702706175,132.73823917541844,11
0.03,13.5,16.4,2.9,312.0102441965557,125.01425087961077,11
0.3,11.7,14.4,2.7,310.3054399754212,131.56555312439642,11
3.0,17.5,20.2,2.7,293.92804498949465,125.2801952925752,11
30.0,Inf,Inf,NaN,Inf,Inf,11
0.0,13.7,16.2,2.5,300.968575830023,136.20153884459748,12
0.03,14.6,17.1,2.5,291.5716493289782,132.69175110205657,12
0.3,11.7,14.4,2.7,320.2724242044009,134.3568104244476,12
3.0,14.6,17.0,2.4,283.983290786742,133.79047028180966,12
30.0,Inf,Inf,NaN,Inf,Inf,12
0.0,15.8,18.5,2.7,313.06265213291397,131.79300986254958,13
0.03,13.0,15.4,2.4,288.43668477085976,135.25175290797583,13
0.3,12.4,15.2,2.8,312.55979222087564,128.46395540125968,13
3.0,13.9,16.4,2.5,288.680380372558,131.60023459788198,13
30.0,Inf,Inf,NaN,Inf,Inf,13
0.0,12.3,15.0,2.7,314.5443392405915,132.8383450511789,14
0.03,14.6,17.0,2.4,289.54791147875096,135.71193647442803,14
0.3,16.9,19.5,2.6,309.0315876717944,133.6872500083103,14
3.0,15.0,17.5,2.5,288.5579439649573,131.02888897619033,14
30.0,Inf,Inf,NaN,Inf,Inf,14
0.0,12.8,15.6,2.8,313.6292586626997,128.37123074776622,15
0.03,13.9,16.5,2.6,303.1176033251365,132.876083109698,15
0.3,13.7,16.1,2.4,288.29302239454523,135.80649531693217,15
3.0,14.6,17.4,2.8,312.68196769883224,127.84558246607091,15
30.0,Inf,Inf,NaN,Inf,Inf,15
0.0,16.7,19.4,2.7,295.7203730815621,126.59167957098514,16
0.03,14.2,17.0,2.8,309.05201929814757,127.35651784560416,16
0.3,13.0,15.8,2.8,311.0315800557917,128.2472136352047,16
3.0,11.9,14.5,2.6,300.67687852019435,132.6231838379045,16
30.0,15.8,18.2,2.4,286.83544412736626,134.75356579821,16
0.0,16.6,19.3,2.7,298.77799111778535,127.7473375644236,17
0.03,11.6,14.2,2.6,305.3047990678134,133.91546077327706,17
0.3,14.4,17.3,2.9,323.94067317923134,128.3189561716378,17
3.0,14.6,17.5,2.9,317.71727318078,126.03749293728477,17
30.0,Inf,Inf,NaN,Inf,Inf,17
0.0,14.0,16.8,2.8,315.6902936080355,129.15177178271463,18
0.03,12.7,15.7,3.0,338.43424573683,128.91890944646633,18
0.3,14.9,17.5,2.6,306.636035898479,132.90253463155176,18
3.0,16.2,19.1,2.9,316.20360970452555,125.62175045211131,18
30.0,Inf,Inf,NaN,Inf,Inf,18
0.0,13.9,16.7,2.8,313.2665110031575,128.5764446592343,19
0.03,13.4,15.7,2.3,279.1590909399548,135.98806453673754,19
0.3,10.7,13.4,2.7,319.2323288750866,134.37934891913807,19
3.0,16.6,19.1,2.5,296.13452686537613,133.36057830203043,19
30.0,Inf,Inf,NaN,Inf,Inf,19
0.0,13.2,15.9,2.7,309.8019884214103,131.08186484220394,20
0.03,15.9,18.4,2.5,287.19759402496067,130.64577151503164,20
0.3,13.3,15.7,2.4,287.92399843362364,135.18739411399446,20
3.0,13.7,16.0,2.3,290.85431323937127,139.03871016047052,20
30.0,Inf,Inf,NaN,Inf,Inf,20
0.0,14.6,17.2,2.6,313.64354753858805,135.58018177791476,21
0.03,13.8,16.3,2.5,300.1457855669458,135.58562256934766,21
0.3,14.5,17.2,2.7,305.82378804388065,129.51864769573794,21
3.0,14.1,16.8,2.7,308.02193246628156,129.94705201673816,21
30.0,Inf,Inf,NaN,Inf,Inf,21
0.0,17.4,19.9,2.5,291.75763960614125,132.46381124397192,22
0.03,11.8,14.5,2.7,300.69789506641683,128.44938081688474,22
0.3,14.3,16.7,2.4,298.39981270790247,138.98535542697127,22
3.0,18.2,21.0,2.8,315.8918271553688,128.52346656628984,22
30.0,Inf,Inf,NaN,Inf,Inf,22
0.0,13.4,16.1,2.7,310.1277219178276,131.01065832371552,23
0.03,13.7,16.1,2.4,296.43218088652463,138.07963340010997,23
0.3,12.9,15.6,2.7,307.9990847559626,130.29596508177735,23
3.0,16.2,18.7,2.5,291.76715495906024,131.82485975864753,23
30.0,Inf,Inf,NaN,Inf,Inf,23
0.0,14.1,17.0,2.9,312.090053527607,125.20230416009409,24
0.03,13.0,15.8,2.8,307.8271073283073,126.69939950437583,24
0.3,12.4,15.4,3.0,315.01852242911025,122.4346476312174,24
3.0,16.4,19.0,2.6,298.1638960377224,130.5859744561006,24
30.0,Inf,Inf,NaN,Inf,Inf,24
0.0,11.8,14.4,2.6,304.38225863512315,133.373790704881,25
0.03,12.1,14.5,2.4,295.6681966353198,137.99617090377765,25
0.3,13.4,16.1,2.7,310.96321354999816,132.2892763244266,25
3.0,17.5,20.2,2.7,296.84681018623417,126.74890114001633,25
30.0,Inf,Inf,NaN,Inf,Inf,25
0.0,12.8,15.4,2.6,301.09282184361,131.79761041026063,26
0.03,13.9,16.4,2.5,295.29524063584256,133.50872539208225,26
0.3,15.4,18.0,2.6,296.37033693600176,131.10014736721007,26
3.0,12.5,15.2,2.7,299.9843552435817,128.214264237889,26
30.0,Inf,Inf,NaN,Inf,Inf,26
0.0,14.0,16.6,2.6,306.9259399360652,134.47436814663982,27
0.03,15.8,18.2,2.4,286.3459475924309,134.07816046716204,27
0.3,15.0,17.4,2.4,289.7237074085516,135.26127775833407,27
3.0,13.9,16.1,2.2,279.7779953756841,139.33587967061672,27
30.0,Inf,Inf,NaN,Inf,Inf,27
0.0,13.4,16.2,2.8,311.8768903688324,128.09568373561487,28
0.03,13.2,15.9,2.7,311.9623911875915,131.63041792524376,28
0.3,13.9,16.6,2.7,298.4898038785248,127.33756413624192,28
3.0,12.5,14.9,2.4,293.3902493081736,136.9507322732961,28
30.0,Inf,Inf,NaN,Inf,Inf,28
0.0,12.9,15.5,2.6,296.729562424067,130.7733374161566,29
0.03,17.1,19.6,2.5,288.1476714871172,131.53673032263808,29
0.3,13.8,16.3,2.5,292.484976001336,133.31116792467637,29
3.0,15.8,18.3,2.5,299.59569397550433,134.8589904937922,29
30.0,Inf,Inf,NaN,Inf,Inf,29
0.0,13.4,16.2,2.8,312.078326017885,128.6375693727013,30
0.03,17.2,19.5,2.3,280.44239858293724,135.70313415498157,30
0.3,14.0,16.6,2.6,301.9194266032599,132.38961881280102,30
3.0,20.1,22.5,2.4,274.6823073172855,129.36454023651146,30
30.0,Inf,Inf,NaN,Inf,Inf,30
0.0,12.7,15.4,2.7,300.1058928230848,128.9053825292333,31
0.03,16.8,19.7,2.9,314.28020318912706,125.39903921596695,31
0.3,12.4,15.1,2.7,311.153127714662,131.4136651871259,31
3.0,13.6,16.3,2.7,302.49350373356884,128.6911008597455,31
30.0,Inf,Inf,NaN,Inf,Inf,31
0.0,13.7,16.1,2.4,297.97891494186047,138.07442838328296,32
0.03,16.5,18.9,2.4,287.56586218539235,134.6702658181944,32
0.3,13.2,15.9,2.7,314.36760330454814,132.85467444078205,32
3.0,13.0,15.7,2.7,308.89307190032343,130.8657397204253,32
30.0,Inf,Inf,NaN,Inf,Inf,32
0.0,15.3,17.8,2.5,297.5385322105895,134.5893707032938,33
0.03,13.9,16.3,2.4,299.05841039459096,138.68149114051116,33
0.3,14.7,17.2,2.5,284.7003335727546,130.37151819875606,33
3.0,15.4,18.2,2.8,325.87524135086267,131.5795389277314,33
30.0,Inf,Inf,NaN,Inf,Inf,33
0.0,13.3,16.0,2.7,310.2770888015687,132.19604854666935,34
0.03,11.8,14.3,2.5,294.7162651262516,134.18080625973803,34
0.3,12.7,15.5,2.8,309.1558940225422,127.25455768641261,34
3.0,14.4,17.1,2.7,304.6197466662463,129.47198645526754,34
30.0,Inf,Inf,NaN,Inf,Inf,34
0.0,13.9,16.7,2.8,319.9930107761552,130.66493576222234,35
0.03,12.0,14.5,2.5,301.3874245340544,135.49021137707388,35
0.3,15.3,17.8,2.5,290.95682136398125,132.36215632198406,35
3.0,15.2,17.9,2.7,303.92340974525484,129.34904633838073,35
30.0,Inf,Inf,NaN,Inf,Inf,35
0.0,14.9,17.5,2.6,301.15571309513643,132.1291951841611,36
0.03,10.2,13.0,2.8,311.92675401873845,128.7651407213133,36
0.3,13.4,16.1,2.7,302.49721471905525,129.06435966048554,36
3.0,14.4,17.0,2.6,310.05510917137985,134.28179254666958,36
30.0,Inf,Inf,NaN,Inf,Inf,36
0.0,15.7,18.4,2.7,305.8515979946684,129.8822504632563,37
0.03,13.0,15.8,2.8,320.77279276555186,131.11408053585535,37
0.3,12.7,15.4,2.7,300.39018606170384,128.4930933985244,37
3.0,13.1,15.8,2.7,304.78534750736634,129.06111862579127,37
30.0,Inf,Inf,NaN,Inf,Inf,37
0.0,11.9,14.7,2.8,313.2169688763955,128.53748404575708,38
0.03,12.5,15.1,2.6,306.2883460279337,133.99334496058654,38
0.3,11.5,13.9,2.4,294.43929991949767,137.60899852443816,38
3.0,13.8,16.3,2.5,295.17144296037554,134.13324804588856,38
30.0,Inf,Inf,NaN,Inf,Inf,38
0.0,15.6,18.4,2.8,309.5563604290761,127.72976322384802,39
0.03,15.4,18.0,2.6,291.14710189297006,128.54451329836323,39
0.3,12.4,15.1,2.7,313.5020133550167,132.14413478153935,39
3.0,11.2,13.6,2.4,288.2000248651549,135.9677406010666,39
30.0,Inf,Inf,NaN,Inf,Inf,39
0.0,13.3,16.2,2.9,331.6134924704815,130.47041876966654,40
0.03,14.3,17.1,2.8,321.5286107209473,130.67600455766825,40
0.3,13.4,16.1,2.7,307.0668734082242,130.26131307326918,40
3.0,12.8,15.6,2.8,320.0522766365152,130.7411861215882,40
30.0,Inf,Inf,NaN,Inf,Inf,40
0.0,12.7,15.5,2.8,312.6498227069384,129.0204041785385,41
0.03,13.9,16.5,2.6,294.2849538515505,130.0738116458109,41
0.3,15.0,17.7,2.7,302.29174107543827,129.4430211793415,41
3.0,14.1,16.6,2.5,299.80264663370076,135.3375417204017,41
30.0,Inf,Inf,NaN,Inf,Inf,41
0.0,11.1,13.7,2.6,315.14689357568403,136.79499180526065,42
0.03,12.5,14.8,2.3,286.4191249342587,138.4798724812962,42
0.3,12.4,15.0,2.6,301.7380722763037,132.78068660312047,42
3.0,13.1,15.7,2.6,314.66364530745375,136.5477781024754,42
30.0,31.8,34.7,2.9,275.133271218241,109.25461003286946,42
0.0,12.6,15.3,2.7,304.65954777656475,129.26797604019458,43
0.03,14.8,17.4,2.6,308.02548273207367,133.82581846752493,43
0.3,13.3,15.9,2.6,307.3462660712919,133.51280960845824,43
3.0,14.1,16.8,2.7,308.3772344386693,130.52442365443832,43
30.0,Inf,Inf,NaN,Inf,Inf,43
0.0,13.0,15.5,2.5,297.19784539067405,134.71177303696464,44
0.03,14.8,17.5,2.7,308.0942333482484,130.79080020124684,44
0.3,12.2,14.9,2.7,306.30540462953536,130.44621347572192,44
3.0,18.7,21.1,2.4,286.07506489062337,133.09716361922693,44
30.0,Inf,Inf,NaN,Inf,Inf,44
0.0,14.9,17.5,2.6,309.1609280137377,134.37071199626277,45
0.03,16.2,18.7,2.5,295.17357913857285,132.9325626937554,45
0.3,15.8,18.3,2.5,298.72516197360534,134.27460071185007,45
3.0,14.6,17.1,2.5,303.4870596248064,135.32570105618876,45
30.0,Inf,Inf,NaN,Inf,Inf,45
0.0,11.8,14.4,2.6,299.69626181961377,132.22203906851115,46
0.03,14.9,17.6,2.7,319.51911356653073,133.87263547958185,46
0.3,16.4,19.2,2.8,325.2246208047089,131.72502563391043,46
3.0,16.5,18.9,2.4,281.6199093321934,132.94675124775628,46
30.0,Inf,Inf,NaN,Inf,Inf,46
0.0,14.9,17.5,2.6,294.4572986236732,129.8806284811199,47
0.03,13.6,16.0,2.4,291.91199808515097,136.9634231951496,47
0.3,13.1,15.9,2.8,325.34585746067756,132.34912522784407,47
3.0,15.5,18.2,2.7,311.4279443937169,131.1264498281698,47
30.0,Inf,Inf,NaN,Inf,Inf,47
0.0,14.2,16.7,2.5,291.5452205675484,131.72664711646354,48
0.03,15.0,17.8,2.8,312.71470434342416,128.7020773684387,48
0.3,13.9,16.4,2.5,299.5369800865979,134.4774358342256,48
3.0,15.1,17.6,2.5,291.2965700786823,131.91825618137167,48
30.0,Inf,Inf,NaN,Inf,Inf,48
0.0,14.2,16.9,2.7,307.7272501332906,130.9917464695474,49
0.03,15.3,17.8,2.5,291.746711198747,132.79553706341795,49
0.3,15.2,18.0,2.8,307.7475058910912,127.2398538578082,49
3.0,14.4,17.0,2.6,295.83693604499615,130.2393475767695,49
30.0,Inf,Inf,NaN,Inf,Inf,49
0.0,13.8,16.5,2.7,306.14688883266575,130.278512081786,50
0.03,15.1,17.5,2.4,293.86384936471984,137.38381153992654,50
0.3,12.1,14.8,2.7,308.91355230485317,131.41952141464927,50
3.0,14.3,17.1,2.8,320.48700277550404,131.0245374905847,50
30.0,Inf,Inf,NaN,Inf,Inf,50
0.0,13.8,16.4,2.6,310.5493237759586,135.0589570953221,51
0.03,13.6,16.0,2.4,295.58154473967716,138.30345508804916,51
0.3,13.6,16.1,2.5,299.840020798617,135.31565260635892,51
3.0,14.9,17.3,2.4,290.9127748792074,135.22026690929124,51
30.0,Inf,Inf,NaN,Inf,Inf,51
0.0,15.1,17.6,2.5,287.92482752825634,131.63478834889358,52
0.03,12.9,15.5,2.6,296.57861052955377,130.29216229230283,52
0.3,14.4,16.8,2.4,288.56170554785933,136.33443818997523,52
3.0,12.0,14.8,2.8,322.0062203604599,131.73381213409414,52
30.0,Inf,Inf,NaN,Inf,Inf,52
0.0,13.4,16.2,2.8,315.9177049115723,129.17167523892385,53
0.03,13.3,15.9,2.6,301.7846421256062,132.647781066843,53
0.3,14.8,17.6,2.8,313.98341238509425,128.72754262820564,53
3.0,11.9,14.4,2.5,293.44582434905294,134.11172429850598,53
30.0,Inf,Inf,NaN,Inf,Inf,53
0.0,11.5,14.4,2.9,323.64919487942313,128.25180671639575,54
0.03,12.9,15.4,2.5,297.4664373542636,134.7044213343585,54
0.3,11.4,13.9,2.5,296.9372612491979,135.05945063161602,54
3.0,16.4,18.8,2.4,286.0565828211225,133.8339377543953,54
30.0,Inf,Inf,NaN,Inf,Inf,54
0.0,13.0,15.4,2.4,293.3399740159291,137.64527396983485,55
0.03,15.2,18.0,2.8,300.9892395095699,125.3401809841159,55
0.3,13.5,16.0,2.5,299.4809577515772,135.3963798329682,55
3.0,14.4,17.0,2.6,306.9028651228609,134.00340876490256,55
30.0,Inf,Inf,NaN,Inf,Inf,55
0.0,13.8,16.3,2.5,288.367846068582,131.8967339806486,56
0.03,14.6,17.5,2.9,318.17189424695835,126.8986294145293,56
0.3,12.0,14.7,2.7,304.58969889531846,129.67429563887288,56
3.0,12.1,14.6,2.5,302.88813991611823,136.50834589651362,56
30.0,37.2,39.9,2.7,259.78244085177283,110.45408998401767,56
0.0,16.0,18.4,2.4,292.1328560943206,136.38527557498642,57
0.03,15.3,18.0,2.7,304.7181542256637,129.66804541816705,57
0.3,13.0,15.8,2.8,319.9866184915553,130.82225937378263,57
3.0,13.2,15.7,2.5,295.44337961314477,134.08373505454807,57
30.0,Inf,Inf,NaN,Inf,Inf,57
0.0,12.3,14.9,2.6,309.6458301748069,134.59658749114777,58
0.03,12.4,15.1,2.7,313.75783201199613,132.80556985889766,58
0.3,13.4,16.1,2.7,300.22026312360686,128.4346304466554,58
3.0,14.2,16.7,2.5,291.6544114851975,131.7163507588934,58
30.0,Inf,Inf,NaN,Inf,Inf,58
0.0,13.2,15.9,2.7,305.34165441806783,129.83396582549113,59
0.03,16.1,18.7,2.6,295.09745313219906,130.90842872300837,59
0.3,13.5,16.3,2.8,312.7258003281439,128.07041372359288,59
3.0,13.7,16.6,2.9,307.70363707502855,123.43591644927203,59
30.0,Inf,Inf,NaN,Inf,Inf,59
0.0,12.8,15.5,2.7,304.15334293204785,129.82156351499086,60
0.03,16.0,18.5,2.5,295.04119613532873,134.29254790161744,60
0.3,14.3,16.8,2.5,293.74933326422376,133.21901164935863,60
3.0,17.0,19.5,2.5,296.3436148994284,133.31594387687852,60
30.0,Inf,Inf,NaN,Inf,Inf,60
0.0,15.2,17.9,2.7,304.5429753625602,129.67231076287393,61
0.03,13.9,16.8,2.9,322.8447455814449,128.0182734603236,61
0.3,13.5,16.0,2.5,301.7654669967384,135.35935210527413,61
3.0,12.7,15.3,2.6,306.2873705487676,133.19984932805463,61
30.0,Inf,Inf,NaN,Inf,Inf,61
0.0,12.1,14.8,2.7,307.9559685932761,130.3908211570532,62
0.03,12.3,15.1,2.8,310.49222935450314,127.65595345676427,62
0.3,16.3,18.8,2.5,305.4703438166431,136.62604998644645,62
3.0,12.5,15.0,2.5,298.59488478666174,135.48553392974054,62
30.0,Inf,Inf,NaN,Inf,Inf,62
0.0,15.6,18.2,2.6,293.48063581643953,129.57556229035464,63
0.03,14.0,16.4,2.4,297.2884923457875,137.69162058838086,63
0.3,14.7,17.3,2.6,284.78602008351515,126.83250225316662,63
3.0,15.0,17.6,2.6,302.4489698982655,131.33842263382488,63
30.0,Inf,Inf,NaN,Inf,Inf,63
0.0,16.2,18.6,2.4,284.1311526678187,133.24138552418952,64
0.03,17.9,20.3,2.4,283.6932070047889,132.65648628958087,64
0.3,13.7,16.6,2.9,316.94435793769344,126.355451471017,64
3.0,14.1,16.8,2.7,304.56075372940325,129.32928739674946,64
30.0,Inf,Inf,NaN,Inf,Inf,64
0.0,12.7,15.1,2.4,296.06526087136615,137.70385885937458,65
