C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,17.4,19.6,2.2,279.6724130858913,139.9300329617119,1
0.03,12.0,14.7,2.7,313.80877769141256,132.63754240580565,1
0.3,15.4,18.1,2.7,303.4931944660395,129.33665354117903,1
3.0,Inf,Inf,NaN,Inf,Inf,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,12.8,15.5,2.7,318.9683425992739,133.89282504355282,2
0.03,14.2,16.7,2.5,284.2144833136613,130.32761898816358,2
0.3,12.6,15.2,2.6,311.65438481558346,135.63236836197777,2
3.0,15.1,17.9,2.8,307.11701619841153,126.51681379453842,2
30.0,Inf,Inf,NaN,Inf,Inf,2
0.0,13.5,16.0,2.5,304.53013412944443,136.97122058367214,3
0.03,14.5,17.0,2.5,290.2970453525171,131.76932489117837,3
0.3,12.3,14.8,2.5,300.5855447759053,135.24945390632766,3
3.0,13.2,16.1,2.9,321.26970965900875,127.20577821180102,3
30.0,Inf,Inf,NaN,Inf,Inf,3
0.0,12.5,15.1,2.6,295.21481328554927,130.2909728478293,4
0.03,12.7,15.3,2.6,302.3597776279109,132.74257943434424,4
0.3,13.9,16.6,2.7,315.84977127897866,133.26120388813547,4
3.0,16.3,19.1,2.8,310.3487388343305,127.26104730420938,4
30.0,Inf,Inf,NaN,Inf,Inf,4
0.0,11.2,13.9,2.7,316.5547758326058,133.59619560656319,5
0.03,15.3,18.0,2.7,301.51042928773643,128.81574385131165,5
0.3,12.3,14.8,2.5,288.7311983286586,131.8213788204741,5
3.0,14.8,17.7,2.9,325.3646730295175,128.80302984018726,5
30.0,Inf,Inf,NaN,Inf,Inf,5
0.0,17.6,20.2,2.6,300.14122862371266,130.61610019512972,6
0.03,12.7,15.1,2.4,289.5374294249026,135.62648078628575,6
0.3,12.7,15.5,2.8,307.91374488936634,127.04823163483624,6
3.0,11.7,14.3,2.6,311.58646495494764,135.3951621190756,6
30.0,Inf,Inf,NaN,Inf,Inf,6
0.0,15.5,18.3,2.8,309.18995016425913,127.74842667763353,7
0.03,15.8,18.1,2.3,284.537863453506,137.90261793298234,7
0.3,16.4,19.1,2.7,303.54546229889394,128.64271493970472,7
3.0,14.0,16.7,2.7,298.9036482778382,127.75835373521743,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,12.8,15.4,2.6,299.42870701659274,131.88383990831355,8
0.03,15.9,18.6,2.7,302.30009696924736,128.8546444050782,8
0.3,12.5,15.4,2.9,341.85629241079357,133.41529682744797,8
3.0,13.9,16.3,2.4,291.4422376215165,136.6269244158012,8
30.0,Inf,Inf,NaN,Inf,Inf,8
0.0,14.5,17.0,2.5,291.4533921331105,132.48230995189823,9
0.03,13.9,16.5,2.6,308.5397503760303,134.40846703305482,9
0.3,14.2,16.6,2.4,292.25882779081417,136.54818277348693,9
3.0,13.6,16.2,2.6,298.6005664204424,131.65920958065922,9
30.0,Inf,Inf,NaN,Inf,Inf,9
0.0,12.8,15.6,2.8,326.60189400311674,132.68956678201897,10
0.03,12.6,15.3,2.7,314.69941031002617,132.60818592324776,10
0.3,12.8,15.6,2.8,315.3652402039847,129.71194783660545,10
3.0,12.3,15.0,2.7,305.3545621338485,130.5360849501647,10
30.0,Inf,Inf,NaN,Inf,Inf,10
0.0,13.2,15.9,2.7,312.2607869238891,131.88804194503405,11
0.03,12.1,14.8,2.7,311.0493477906504,131.30564321990371,11
0.3,13.9,16.7,2.8,302.59887391576495,125.41824583312079,11
3.0,13.7,16.5,2.8,312.2946235036035,128.19883332961,11
30.0,Inf,Inf,NaN,Inf,Inf,11
0.0,13.8,16.2,2.4,295.0740386310883,137.83249220883903,12
0.03,13.6,16.1,2.5,293.38885633230973,133.1491127831783,12
0.3,15.9,18.5,2.6,290.8654118136204,128.66765456069214,12
3.0,13.4,15.8,2.4,290.55799331268133,136.67329133305378,12
30.0,Inf,Inf,NaN,Inf,Inf,12
0.0,11.1,13.9,2.8,319.88826452119065,130.71067307145617,13
0.03,11.9,14.6,2.7,302.5051556845218,129.32589115253995,13
0.3,13.1,15.7,2.6,301.6829455437835,132.5439302540197,13
3.0,12.5,15.1,2.6,306.0489735172277,133.3906509190806,13
30.0,Inf,Inf,NaN,Inf,Inf,13
0.0,12.4,15.0,2.6,310.7082929228253,135.0647178966948,14
0.03,14.1,16.7,2.6,299.6193951254524,132.26358419478285,14
0.3,13.2,15.9,2.7,297.66169850543355,127.8502968396194,14
3.0,13.3,16.2,2.9,312.96233944327133,125.28687861735526,14
30.0,Inf,Inf,NaN,Inf,Inf,14
0.0,14.7,17.3,2.6,298.4190297909259,130.9320007026235,15
0.03,13.5,16.3,2.8,305.54564590254233,126.52494212232943,15
0.3,13.8,16.6,2.8,309.0003868318082,127.29643250450601,15
3.0,15.5,18.3,2.8,313.6955767348216,128.1181236363878,15
30.0,Inf,Inf,NaN,Inf,Inf,15
0.0,15.3,17.9,2.6,287.9451937927489,128.3330870422497,16
0.03,13.7,16.1,2.4,288.8223051462933,135.81431803409714,16
0.3,13.4,15.8,2.4,295.1184006216673,137.50011614428016,16
3.0,14.8,17.4,2.6,292.9346613196002,129.73684476840134,16
30.0,Inf,Inf,NaN,Inf,Inf,16
0.0,15.5,18.2,2.7,297.5366980628848,127.31298790145622,17
0.03,13.9,16.9,3.0,339.1100345232213,128.95708529697274,17
0.3,15.2,17.8,2.6,289.0663077428845,127.9939765090838,17
3.0,13.9,16.5,2.6,286.1293170882682,127.5808135104063,17
30.0,Inf,Inf,NaN,Inf,Inf,17
0.0,13.6,16.0,2.4,286.0711525943532,134.68927626423084,18
0.03,14.0,16.7,2.7,300.9470901229241,128.2913451578134,18
0.3,13.5,16.1,2.6,304.1068611408974,132.48814425169613,18
3.0,12.7,15.3,2.6,306.1615211324839,133.94218778315147,18
30.0,Inf,Inf,NaN,Inf,Inf,18
0.0,14.8,17.2,2.4,288.1566370546715,134.88600823697487,19
0.03,14.8,17.3,2.5,295.95803795485955,134.17373800150114,19
0.3,14.7,17.7,3.0,319.54295461151884,123.5783056289711,19
3.0,12.3,15.0,2.7,310.94021667321,131.79365650219432,19
30.0,Inf,Inf,NaN,Inf,Inf,19
0.0,13.5,16.4,2.9,310.1163434029719,124.49415461049223,20
0.03,14.8,17.3,2.5,287.4369986694153,131.22463228656483,20
0.3,14.8,17.4,2.6,304.70544020071463,132.53393643573514,20
3.0,14.7,17.1,2.4,291.42575109971625,136.99523811622657,20
30.0,Inf,Inf,NaN,Inf,Inf,20
0.0,15.8,18.5,2.7,300.57898036846007,128.10036962382708,21
0.03,11.6,14.3,2.7,311.66126124007735,132.24182665318068,21
0.3,13.9,16.6,2.7,312.50268778954006,132.3921647628811,21
3.0,12.1,14.9,2.8,308.5879765569954,127.34124543537305,21
30.0,Inf,Inf,NaN,Inf,Inf,21
0.0,12.3,15.1,2.8,319.6635138002141,130.39630856140352,22
0.03,14.7,17.1,2.4,286.8051171772662,134.37993501700862,22
0.3,13.1,15.6,2.5,299.93860325329103,135.8525409838365,22
3.0,17.2,19.7,2.5,286.9400036285738,130.9391501329381,22
30.0,Inf,Inf,NaN,Inf,Inf,22
0.0,14.3,16.9,2.6,292.3406438928267,129.38536889010703,23
0.03,13.6,16.2,2.6,311.4314915355601,135.16141191174762,23
0.3,13.2,15.8,2.6,299.86687503305336,131.6849180977467,23
3.0,15.4,18.0,2.6,302.59776496273867,132.37506782723997,23
30.0,Inf,Inf,NaN,Inf,Inf,23
0.0,13.5,16.3,2.8,313.004964839168,128.66137553604443,24
0.03,14.2,16.7,2.5,280.20460936419965,128.75416507595293,24
0.3,14.6,17.4,2.8,314.33732759460645,129.10480427475895,24
3.0,13.4,16.0,2.6,294.87072489517493,130.92795956249844,24
30.0,Inf,Inf,NaN,Inf,Inf,24
0.0,12.5,15.2,2.7,308.39276499979877,131.36153697893153,25
0.03,15.6,18.2,2.6,305.44745635523344,132.33874862346863,25
0.3,14.1,16.7,2.6,307.8467545687411,133.9319808552782,25
3.0,13.3,15.9,2.6,299.0521290755131,131.24853527083133,25
30.0,Inf,Inf,NaN,Inf,Inf,25
0.0,15.8,18.3,2.5,288.96057222915795,132.09345731721191,26
0.03,15.6,18.0,2.4,282.99442018638393,133.49903312499433,26
0.3,11.6,14.0,2.4,297.9131796025591,138.6771704744871,26
3.0,12.3,14.7,2.4,297.9471847548017,138.81515622797542,26
30.0,Inf,Inf,NaN,Inf,Inf,26
0.0,13.6,16.4,2.8,315.4320797428071,129.41956552782844,27
0.03,14.2,16.8,2.6,294.144636855233,129.80255691156566,27
0.3,17.6,20.5,2.9,314.43384074611413,125.1987742379471,27
3.0,15.9,18.4,2.5,299.82774547552253,135.22256199528127,27
30.0,Inf,Inf,NaN,Inf,Inf,27
0.0,15.8,18.4,2.6,296.00049415672834,130.0933535464627,28
0.03,13.2,15.9,2.7,304.77006521849654,129.80519878898755,28
0.3,12.6,15.1,2.5,306.9676701896573,137.83464233755643,28
3.0,11.5,14.2,2.7,318.77905249748864,134.15386262615,28
30.0,Inf,Inf,NaN,Inf,Inf,28
0.0,13.9,16.6,2.7,304.42766101902623,129.14403555378243,29
0.03,12.8,15.5,2.7,314.75412756050576,132.9552233061764,29
0.3,15.1,17.7,2.6,299.476873384068,131.92364718052363,29
3.0,16.0,18.5,2.5,295.5061363432505,133.84954823995108,29
30.0,Inf,Inf,NaN,Inf,Inf,29
0.0,13.0,15.5,2.5,299.1443407041364,135.33610645032527,30
0.03,13.1,15.7,2.6,309.39486758017955,134.24988977492904,30
0.3,14.4,17.1,2.7,307.93632864329265,129.81260962703925,30
3.0,14.2,17.0,2.8,312.0469518182207,128.30214087510177,30
30.0,Inf,Inf,NaN,Inf,Inf,30
0.0,12.5,15.2,2.7,304.5379257665478,129.826730719954,31
0.03,17.1,19.8,2.7,307.85864013879865,130.543801168153,31
0.3,14.3,16.7,2.4,286.33053619950226,135.05295950598278,31
3.0,13.2,15.9,2.7,310.1204053556468,130.78920524256597,31
30.0,Inf,Inf,NaN,Inf,Inf,31
0.0,12.2,14.8,2.6,297.66344029927103,131.75951385389195,32
0.03,16.0,18.7,2.7,290.4254286110918,125.26303927202511,32
0.3,13.0,15.5,2.5,299.07234989348893,135.08721050973574,32
3.0,10.8,13.1,2.3,291.5978372541324,140.14644618660057,32
30.0,Inf,Inf,NaN,Inf,Inf,32
0.0,12.8,15.6,2.8,300.8821373331235,124.92097370683803,33
0.03,13.4,16.1,2.7,311.51495315931857,131.5967034398621,33
0.3,15.3,18.1,2.8,310.3273504686206,127.78321929071312,33
3.0,13.0,15.6,2.6,308.39400139436214,134.68081001238502,33
30.0,Inf,Inf,NaN,Inf,Inf,33
0.0,15.4,18.0,2.6,302.57390825945566,132.53280273555362,34
0.03,11.9,14.7,2.8,304.7275712278592,126.20857014273925,34
0.3,13.5,16.3,2.8,313.26617340763477,128.7277068631673,34
3.0,14.2,16.6,2.4,294.2597642935107,137.03066727963338,34
30.0,Inf,Inf,NaN,Inf,Inf,34
0.0,15.0,17.6,2.6,299.6035484091308,131.60091461824737,35
0.03,12.7,15.3,2.6,307.497858717377,134.32058497863898,35
0.3,19.9,22.4,2.5,285.36612892494617,130.33877559725667,35
3.0,12.3,14.9,2.6,298.23555806302863,131.74548342121153,35
30.0,Inf,Inf,NaN,Inf,Inf,35
0.0,11.9,14.6,2.7,316.044172602216,132.95179965875144,36
0.03,11.4,14.0,2.6,308.7943668670121,134.41982410617388,36
0.3,14.1,16.5,2.4,290.01236621819595,135.78221197257176,36
3.0,13.5,16.1,2.6,303.31253355686385,132.8936736591843,36
30.0,Inf,Inf,NaN,Inf,Inf,36
0.0,14.7,17.4,2.7,307.77572115385544,130.64889885407294,37
0.03,11.9,14.4,2.5,306.82765853477844,137.39307854007933,37
0.3,13.8,16.3,2.5,296.3860438847036,134.75286430360921,37
3.0,13.5,16.0,2.5,292.3420477811083,132.69420950575582,37
30.0,Inf,Inf,NaN,Inf,Inf,37
0.0,14.5,16.9,2.4,289.1788282928887,135.52261943325075,38
0.03,12.8,15.5,2.7,303.947865520763,129.1952676469222,38
0.3,11.2,14.1,2.9,316.4218551799931,126.27166410907144,38
3.0,14.4,17.1,2.7,291.957598383144,125.77045007233546,38
30.0,Inf,Inf,NaN,Inf,Inf,38
0.0,15.3,18.1,2.8,308.65872577528194,127.07013737756583,39
0.03,11.6,14.4,2.8,309.51602278647755,128.1035982148823,39
0.3,12.5,15.1,2.6,300.80233571028924,132.19156267468824,39
3.0,12.1,14.7,2.6,305.5767015659616,133.89475970696125,39
30.0,Inf,Inf,NaN,Inf,Inf,39
0.0,11.7,14.4,2.7,303.0057967818964,129.17260547010065,40
0.03,17.2,20.0,2.8,304.4810095518569,125.35186996700074,40
0.3,14.2,16.6,2.4,286.8848767125257,134.7369640029103,40
3.0,13.8,16.3,2.5,286.98107169760704,131.65067188043088,40
30.0,Inf,Inf,NaN,Inf,Inf,40
0.0,15.8,18.5,2.7,303.3552110933887,128.62519868896828,41
0.03,15.0,17.6,2.6,294.4488204028095,130.1247470241999,41
0.3,13.9,16.4,2.5,300.9988466110812,135.8365007697003,41
3.0,14.2,17.0,2.8,319.93211216330116,130.35948652758606,41
30.0,Inf,Inf,NaN,Inf,Inf,41
0.0,12.9,15.5,2.6,291.98724619978776,129.49159693414123,42
0.03,13.6,16.4,2.8,313.3547818244957,128.76519971498607,42
0.3,12.7,15.4,2.7,310.4212272408088,131.8145198889797,42
3.0,16.6,19.1,2.5,296.49688506497745,133.6981856375773,42
30.0,Inf,Inf,NaN,Inf,Inf,42
0.0,14.5,17.1,2.6,295.1896032573273,130.12950214364793,43
0.03,13.3,16.0,2.7,308.68279516264636,131.3474695765689,43
0.3,14.3,16.8,2.5,301.49556793381055,136.0569026183319,43
3.0,13.5,16.3,2.8,314.53333570361985,129.21379946651552,43
30.0,Inf,Inf,NaN,Inf,Inf,43
0.0,15.0,17.8,2.8,310.3813985825567,127.44143746365805,44
0.03,14.4,17.0,2.6,300.12798138650686,132.0675091821247,44
0.3,12.9,15.4,2.5,292.9003559001154,133.3860534071688,44
3.0,13.5,16.3,2.8,309.6957725619645,127.95442435581046,44
30.0,Inf,Inf,NaN,Inf,Inf,44
0.0,14.8,17.4,2.6,298.6084580100197,131.85691844886105,45
0.03,12.5,15.2,2.7,314.1707321365858,132.3931235041127,45
0.3,10.9,13.6,2.7,316.3735400027012,133.35143735310913,45
3.0,12.5,15.1,2.6,294.4861092601053,130.3194877367001,45
30.0,Inf,Inf,NaN,Inf,Inf,45
