t_exp,C_W_1,wetmass_mg,num_tadpoles,num_sample
0.0,0.0,172.9104130429775,10,1
1.0,0.0,184.7109914460588,10,1
2.0,0.0,196.83672557011798,10,1
3.0,0.0,209.27744040092747,10,1
4.0,0.0,222.02279732245853,10,1
5.0,0.0,235.06233327833542,10,1
6.0,0.0,248.38548565246487,10,1
7.0,0.0,261.9816244819451,10,1
8.0,0.0,275.8400856892011,10,1
9.0,0.0,289.9501858739001,10,1
10.0,0.0,295.56540547907383,9,1
11.0,0.0,300.41516842775513,8,1
12.0,0.0,314.35084125575054,8,1
13.0,0.0,328.4832301199141,8,1
14.0,0.0,337.18690173576437,7,1
15.0,0.0,335.13427411612804,4,1
16.0,0.0,343.2907219458605,3,1
17.0,0.0,348.88730029891855,2,1
18.0,0.0,354.82320577782434,1,1
0.0,0.03,186.73505805518352,10,1
1.0,0.03,199.49029248471072,10,1
2.0,0.03,212.5974689591432,10,1
3.0,0.03,226.04558625115607,10,1
4.0,0.03,239.82346711386919,10,1
5.0,0.03,253.91979524552553,10,1
6.0,0.03,268.3231495670352,10,1
7.0,0.03,283.0220359412127,10,1
8.0,0.03,298.0049164831595,10,1
9.0,0.03,313.2602366327892,10,1
10.0,0.03,307.17323016257734,7,1
11.0,0.03,313.0350344028614,6,1
12.0,0.03,317.6911905477748,5,1
13.0,0.03,321.6960982035222,4,1
14.0,0.03,322.3473018123843,3,1
15.0,0.03,335.9707376117197,3,1
16.0,0.03,343.0287544291773,2,1
17.0,0.03,347.5858996006675,1,1
0.0,0.3,205.51690220943314,10,1
1.0,0.3,219.56960159946524,10,1
2.0,0.3,234.01066862984197,10,1
3.0,0.3,248.8279796553501,10,1
4.0,0.3,264.0092157940509,10,1
5.0,0.3,279.54190377409054,10,1
6.0,0.3,295.41345379786765,10,1
7.0,0.3,302.38019231801695,9,1
8.0,0.3,298.4312102369076,7,1
9.0,0.3,313.7080805402895,7,1
10.0,0.3,329.2462038891726,7,1
11.0,0.3,339.5603294051271,6,1
12.0,0.3,345.26247124180514,4,1
13.0,0.3,345.2756533898305,2,1
14.0,0.3,338.4036280434558,1,1
15.0,0.3,352.7121325517078,1,1
0.0,3.0,187.95663905990443,10,1
1.0,3.0,200.7958657074672,10,1
2.0,3.0,213.98922949726375,10,1
3.0,3.0,227.52554163126888,10,1
4.0,3.0,241.39361146176225,10,1
5.0,3.0,255.5821212960312,10,1
6.0,3.0,270.0796141064994,10,1
7.0,3.0,284.8745370715695,10,1
8.0,3.0,299.95528306265163,10,1
9.0,3.0,307.9594229955046,9,1
10.0,3.0,323.20937707844826,9,1
11.0,3.0,334.6905209944431,8,1
12.0,3.0,343.0609250135322,6,1
13.0,3.0,341.5484837076439,3,1
14.0,3.0,331.85931271724985,1,1
15.0,3.0,345.88780615651814,1,1
16.0,3.0,360.0782457323262,1,1
0.0,30.0,192.21093577003197,10,1
1.0,30.0,202.44462107870737,10,1
2.0,30.0,153.43553147327188,10,1
3.0,30.0,92.69130288540474,10,1
4.0,30.0,45.72798827438212,10,1
5.0,30.0,12.674189692853245,10,1
6.0,30.0,-10.099366770898717,10,1
7.0,30.0,-25.83417844814365,10,1
8.0,30.0,-30.855672862225013,10,1
9.0,30.0,-30.893247287918484,10,1
10.0,30.0,-30.907577142917596,10,1
11.0,30.0,-30.913974570082797,10,1
12.0,30.0,-30.914412666875553,10,1
13.0,30.0,-30.91399556428825,10,1
14.0,30.0,-30.913627796354586,10,1
15.0,30.0,-30.913292316053905,10,1
16.0,30.0,-30.912982340664012,10,1
17.0,30.0,-30.912691412709798,10,1
18.0,30.0,-30.912420679417387,10,1
19.0,30.0,-30.91216803781334,10,1
20.0,30.0,-30.91193109485004,10,1
21.0,30.0,-30.91171179131897,10,1
22.0,30.0,-30.911503589442304,10,1
23.0,30.0,-30.911312407724274,10,1
24.0,30.0,-30.911132176903646,10,1
25.0,30.0,-30.91096057171125,10,1
26.0,30.0,-30.910805926848234,10,1
27.0,30.0,-30.91065725585549,10,1
28.0,30.0,-30.910516235298672,10,1
29.0,30.0,-30.910391154918386,10,1
30.0,30.0,-30.910268879286285,10,1
31.0,30.0,-30.910152152500512,10,1
32.0,30.0,-30.91005097421587,10,1
33.0,30.0,-30.90995133478509,10,1
34.0,30.0,-30.909853649534362,10,1
35.0,30.0,-30.90977122078587,10,1
36.0,30.0,-30.90969122582927,10,1
37.0,30.0,-30.909609400816425,10,1
38.0,30.0,-30.90954057600161,10,1
39.0,30.0,-30.90947738452929,10,1
40.0,30.0,-30.90940982117575,10,1
41.0,30.0,-30.90935031485169,10,1
42.0,30.0,-30.909300526081143,10,1
43.0,30.0,-30.909246336256246,10,1
44.0,30.0,-30.90919415026871,10,1
45.0,30.0,-30.909153729254133,10,1
46.0,30.0,-30.909111411283796,10,1
47.0,30.0,-30.909067108276776,10,1
48.0,30.0,-30.90903118063472,10,1
49.0,30.0,-30.908997259331414,10,1
50.0,30.0,-30.908962951347966,10,1
51.0,30.0,-30.908931775920717,10,1
52.0,30.0,-30.908904373450536,10,1
53.0,30.0,-30.908875784739337,10,1
54.0,30.0,-30.908849082936694,10,1
55.0,30.0,-30.908824781206114,10,1
56.0,30.0,-30.908798997119266,10,1
57.0,30.0,-30.908781761772673,10,1
58.0,30.0,-30.908763548498666,10,1
59.0,30.0,-30.908739643554533,10,1
60.0,30.0,-30.908723100324902,10,1
