C_W_1,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
0.0,15.0,17.3,2.3,283.80669327118255,138.03119783536718,1
0.03,13.1,15.9,2.8,319.05795708154653,130.58767137719423,1
0.3,11.4,13.9,2.5,293.6649182493107,134.22123078016972,1
3.0,12.8,15.6,2.8,317.73350587595917,129.82608056288404,1
30.0,Inf,Inf,NaN,Inf,Inf,1
0.0,14.8,17.3,2.5,282.13161246128163,129.45094719625965,2
0.03,15.0,17.5,2.5,293.3277113038288,133.85013446779095,2
0.3,13.9,16.7,2.8,308.7028037948643,127.42755849571279,2
3.0,12.0,14.3,2.3,291.1846605767585,140.6243678775806,2
30.0,Inf,Inf,NaN,Inf,Inf,2
0.0,12.8,15.4,2.6,312.9034635051245,135.58418428599848,3
0.03,14.4,17.0,2.6,300.13480031166614,131.91342279414616,3
0.3,17.4,19.9,2.5,286.4926409261118,131.48358983634893,3
3.0,14.3,17.0,2.7,311.41249553150885,131.8260451459393,3
30.0,Inf,Inf,NaN,Inf,Inf,3
0.0,14.6,17.6,3.0,327.51244621887133,125.79250492676388,4
0.03,13.2,15.9,2.7,309.304477741346,131.64278818861325,4
0.3,11.8,14.7,2.9,326.2665872271158,129.15110623318742,4
3.0,17.6,20.4,2.8,304.09586714578256,125.53554380753046,4
30.0,Inf,Inf,NaN,Inf,Inf,4
0.0,13.3,15.8,2.5,282.0195444623689,129.6297410202791,5
0.03,13.0,15.4,2.4,287.7521873161795,134.72426951378588,5
0.3,14.3,16.9,2.6,299.7910946202173,128.5236124951246,5
3.0,15.4,17.6,2.2,276.427780978395,124.99090719047179,5
30.0,26.9,28.3,1.4,227.04731770770235,111.37126269346865,5
0.0,15.5,18.1,2.6,297.72020993501366,130.93072454014316,6
0.03,14.2,16.6,2.4,296.28403488188985,137.88285941216924,6
0.3,15.0,17.7,2.7,301.6107385024153,128.52491984987114,6
3.0,12.4,14.8,2.4,291.91117269666137,135.45330935501767,6
30.0,21.2,23.4,2.2,266.02246748028074,117.57817431014192,6
0.0,14.9,17.6,2.7,313.88435857329824,132.29811315440662,7
0.03,12.7,15.1,2.4,301.1442735034013,139.6250302568466,7
0.3,15.5,18.1,2.6,305.94715279347935,132.97067627330415,7
3.0,12.6,15.1,2.5,295.56514168284355,134.1090851090359,7
30.0,Inf,Inf,NaN,Inf,Inf,7
0.0,14.1,16.9,2.8,313.04363079503656,128.40478133183223,8
0.03,13.3,16.0,2.7,321.49298287328736,133.88783758315057,8
0.3,14.4,16.9,2.5,287.24699637547076,127.71148136132703,8
3.0,21.1,22.8,1.7,227.2570765610429,120.38457264259883,8
30.0,Inf,Inf,NaN,Inf,Inf,8
0.0,16.0,18.6,2.6,305.1701788100484,132.80640554278256,9
0.03,12.7,15.3,2.6,298.1349792617371,131.54811173079062,9
0.3,17.4,20.0,2.6,301.1736781225422,128.13748565021345,9
3.0,22.0,23.9,1.9,232.22527738189714,114.17235344412673,9
30.0,Inf,Inf,NaN,Inf,Inf,9
0.0,11.8,14.5,2.7,306.7591712974819,130.6896739385266,10
0.03,12.7,15.4,2.7,309.53224738804903,131.7883433776871,10
0.3,13.1,15.6,2.5,304.6120242044327,136.62820515756775,10
3.0,12.0,14.5,2.5,301.6404463726685,136.7119457164606,10
30.0,Inf,Inf,NaN,Inf,Inf,10
0.0,13.7,16.2,2.5,294.7667359561952,133.99436384285661,11
0.03,12.1,15.1,3.0,326.5111814559133,125.60360130809548,11
0.3,12.5,15.2,2.7,309.39346690549496,130.9019567588603,11
3.0,14.4,16.8,2.4,287.3202707908989,134.6088008554659,11
30.0,Inf,Inf,NaN,Inf,Inf,11
0.0,15.5,18.1,2.6,305.66459109384203,132.9993065531969,12
0.03,13.5,15.9,2.4,292.89543225857653,136.3306199529266,12
0.3,13.7,16.3,2.6,305.9971842511775,129.90889782496532,12
3.0,17.0,19.2,2.2,272.2453993267738,123.60214470351835,12
30.0,28.8,30.0,1.2,195.11881887408808,108.60009638228173,12
0.0,14.7,17.3,2.6,302.1576530572671,131.9397457658665,13
0.03,14.7,17.0,2.3,281.1544762471922,135.65664621095058,13
0.3,13.0,15.6,2.6,295.0641961073882,127.24203462831483,13
3.0,22.4,24.2,1.8,241.71368270146996,121.19604234362419,13
30.0,Inf,Inf,NaN,Inf,Inf,13
